pocket,distance_to_ARG152_162_163_center_A,center_x,center_y,center_z,n_atoms,hotspot_center_x,hotspot_center_y,hotspot_center_z
7,7.441390031380288,-3.1633333333333336,13.287541666666668,-9.590583333333333,24,-3.4117274,8.656606,-15.410121
8,8.571676855814369,-4.738136363636364,2.436636363636364,-9.663272727272728,22,-3.4117274,8.656606,-15.410121
13,10.323739689293447,6.6935,7.497250000000001,-17.1764375,16,-3.4117274,8.656606,-15.410121
17,12.976757956061684,5.661666666666666,-0.1772499999999999,-18.244333333333334,12,-3.4117274,8.656606,-15.410121
20,13.10331407201378,1.181076923076923,-2.300461538461539,-9.883307692307692,13,-3.4117274,8.656606,-15.410121
10,13.150408643579045,-2.0111851851851856,-4.413185185185186,-15.800370370370368,27,-3.4117274,8.656606,-15.410121
19,14.74155488779813,8.795388888888887,0.48277777777777775,-14.190166666666665,18,-3.4117274,8.656606,-15.410121
9,18.568026614579725,-3.0516000000000005,26.951200000000004,-12.255799999999999,15,-3.4117274,8.656606,-15.410121
14,37.09069991977588,29.196625,-6.464624999999999,-24.562375,16,-3.4117274,8.656606,-15.410121
16,37.26959159636726,13.486916666666666,10.098416666666667,17.77691666666667,12,-3.4117274,8.656606,-15.410121
18,37.7239702924052,3.2520500000000006,-0.4745499999999999,20.580350000000003,20,-3.4117274,8.656606,-15.410121
15,38.37155419386739,10.980133333333333,-0.5362666666666667,18.9518,15,-3.4117274,8.656606,-15.410121
6,40.20790718303688,-10.6903125,-8.44575,20.243875,16,-3.4117274,8.656606,-15.410121
12,40.89887235425572,-33.56294117647059,1.8698823529411763,11.377235294117646,17,-3.4117274,8.656606,-15.410121
1,48.33200057171306,-21.893918918918924,3.828756756756757,28.98675675675675,37,-3.4117274,8.656606,-15.410121
5,70.86382585456913,59.7045,-21.989500000000007,-25.351944444444445,18,-3.4117274,8.656606,-15.410121
11,76.0912181620746,65.01873913043478,-23.89978260869565,-22.282260869565217,23,-3.4117274,8.656606,-15.410121
2,84.9460630709037,74.6476,-24.279759999999996,-21.55592,25,-3.4117274,8.656606,-15.410121
4,97.34865774657007,81.92822727272727,-36.01,-29.507909090909084,22,-3.4117274,8.656606,-15.410121
3,104.36900563761772,89.90871428571428,-35.82795238095238,-29.73871428571428,21,-3.4117274,8.656606,-15.410121
